Zeit;Weg;Kraft;Länge;dL_ORG
7,36;2,17;4,64;2,54;2,54
7,38;2,18;4,62;2,55;2,54
7,40;2,18;4,61;2,55;2,55
7,42;2,19;4,64;2,55;2,55
7,44;2,19;4,62;2,55;2,55
7,46;2,20;4,61;2,56;2,56
7,48;2,21;4,64;2,56;2,56
7,50;2,21;4,61;2,56;2,56
7,52;2,22;4,61;2,57;2,56
7,54;2,22;4,63;2,57;2,57
7,56;2,23;4,61;2,57;2,57
7,58;2,23;4,61;2,57;2,57
7,60;2,24;4,63;2,58;2,57
7,62;2,25;4,61;2,58;2,57
7,64;2,25;4,61;2,58;2,58
7,66;2,26;4,63;2,59;2,58
7,68;2,26;4,61;2,59;2,59
7,70;2,27;4,61;2,59;2,59
7,72;2,28;4,63;2,59;2,59
7,74;2,28;4,60;2,60;2,59
7,76;2,29;4,61;2,60;2,59
7,78;2,29;4,63;2,60;2,60
7,80;2,30;4,60;2,60;2,60
7,82;2,30;4,61;2,61;2,60
7,84;2,31;4,63;2,61;2,60
7,86;2,32;4,60;2,61;2,61
7,88;2,32;4,60;2,61;2,61
7,90;2,33;4,62;2,61;2,61
7,92;2,33;4,59;2,62;2,62
7,94;2,34;4,60;2,62;2,62
7,96;2,35;4,62;2,62;2,62
7,98;2,35;4,60;2,62;2,62
8,00;2,36;4,60;2,63;2,62
8,02;2,36;4,61;2,63;2,63
8,04;2,37;4,59;2,63;2,63
8,06;2,37;4,60;2,63;2,63
8,08;2,38;4,61;2,64;2,64
8,10;2,39;4,59;2,64;2,64
8,12;2,39;4,60;2,64;2,64
8,14;2,40;4,61;2,64;2,64
8,16;2,40;4,58;2,65;2,65
8,18;2,41;4,60;2,65;2,65
8,20;2,42;4,61;2,65;2,65
8,22;2,42;4,58;2,65;2,65
8,24;2,43;4,60;2,65;2,65
8,26;2,43;4,61;2,66;2,65
8,28;2,44;4,58;2,66;2,66
8,30;2,44;4,59;2,66;2,66
8,32;2,45;4,60;2,66;2,66
8,34;2,46;4,58;2,67;2,66
8,36;2,46;4,59;2,67;2,67
8,38;2,47;4,60;2,67;2,67
8,40;2,47;4,57;2,67;2,67
8,42;2,48;4,59;2,68;2,67
8,44;2,49;4,60;2,68;2,68
8,46;2,49;4,58;2,68;2,68
8,48;2,50;4,60;2,68;2,68
8,50;2,50;4,60;2,68;2,68
8,52;2,51;4,58;2,68;2,68
8,54;2,51;4,60;2,69;2,69
8,56;2,52;4,60;2,69;2,69
8,58;2,53;4,57;2,69;2,69
8,60;2,53;4,59;2,69;2,69
8,62;2,54;4,59;2,70;2,70
8,64;2,54;4,57;2,70;2,70
8,66;2,55;4,59;2,70;2,70
8,68;2,56;4,58;2,70;2,70
8,70;2,56;4,56;2,71;2,71
8,72;2,57;4,59;2,71;2,71
8,74;2,57;4,58;2,71;2,71
8,76;2,58;4,56;2,72;2,71
8,78;2,58;4,59;2,72;2,72
8,80;2,59;4,58;2,72;2,72
8,82;2,60;4,56;2,72;2,72
8,84;2,60;4,59;2,73;2,72
8,86;2,61;4,58;2,73;2,72
8,88;2,61;4,56;2,73;2,73
8,90;2,62;4,58;2,73;2,73
8,92;2,63;4,58;2,74;2,73
8,94;2,63;4,55;2,74;2,73
8,96;2,64;4,58;2,74;2,74
8,98;2,64;4,57;2,74;2,74
9,00;2,65;4,55;2,74;2,74
9,02;2,65;4,58;2,75;2,74
9,04;2,66;4,57;2,75;2,75
9,06;2,67;4,56;2,75;2,75
9,08;2,67;4,58;2,75;2,75
9,10;2,68;4,57;2,76;2,75
9,12;2,68;4,56;2,76;2,76
9,14;2,69;4,59;2,76;2,76
9,16;2,70;4,58;2,76;2,76
9,18;2,70;4,57;2,77;2,76
9,20;2,71;4,60;2,77;2,77
9,22;2,71;4,58;2,77;2,77
9,24;2,72;4,57;2,77;2,77
9,26;2,72;4,60;2,78;2,77
